system,backend,project,doc_to_model_link_precision,doc_to_model_link_recall,doc_to_model_link_f1,doc_to_model_link_f2,doc_to_model_component_miss_rate,doc_to_code_file_precision,doc_to_code_file_recall,doc_to_code_file_f1,doc_to_code_file_f2,doc_to_code_component_micro_f1,doc_to_code_component_micro_f2,doc_to_code_worst_component_f1,doc_to_code_worst_component_f2,doc_to_code_harmonic_component_f1,doc_to_code_harmonic_component_f2
approach (GPT-5.6-terra),gpt-5.6-terra,mediastore,0.9118,1.0000,0.9538,0.9810,0.0000,0.8525,0.8814,0.8667,0.8754,0.9492,0.9790,0.7241,0.7394,0.9594,0.9623
approach (GPT-5.6-terra),gpt-5.6-terra,teastore,1.0000,0.9630,0.9811,0.9701,0.0000,1.0000,0.9576,0.9783,0.9658,0.9811,0.9701,0.9091,0.8621,0.9836,0.9740
approach (GPT-5.6-terra),gpt-5.6-terra,teammates,0.8524,0.9181,0.8830,0.9034,0.0000,0.9618,0.7688,0.8545,0.8009,0.6207,0.5127,0.7160,0.6117,0.8373,0.7944
approach (GPT-5.6-terra),gpt-5.6-terra,bigbluebutton,0.8489,0.8763,0.8624,0.8707,0.0000,0.7158,0.9300,0.8085,0.8772,0.8976,0.9133,0.5370,0.5556,0.8189,0.8385
approach (GPT-5.6-terra),gpt-5.6-terra,jabref,0.9316,1.0000,0.9644,0.9854,0.0000,0.8866,1.0000,0.9398,0.9750,0.9707,0.9880,0.8889,0.9524,0.9752,0.9899
approach (GPT-5.6-luna),gpt-5.6-luna,mediastore,0.9062,0.9355,0.9205,0.9294,0.0000,0.8402,0.8023,0.8207,0.8095,0.9121,0.9218,0.6545,0.6475,0.9312,0.9219
approach (GPT-5.6-luna),gpt-5.6-luna,teastore,0.9208,0.9753,0.9465,0.9634,0.0000,0.9857,0.9717,0.9783,0.9743,0.9465,0.9634,0.9138,0.8973,0.9845,0.9808
approach (GPT-5.6-luna),gpt-5.6-luna,teammates,0.6511,0.9474,0.7709,0.8675,0.0000,0.7720,0.7756,0.7735,0.7747,0.5936,0.5243,0.5101,0.6117,0.7254,0.7561
approach (GPT-5.6-luna),gpt-5.6-luna,bigbluebutton,0.8285,0.8656,0.8459,0.8574,0.0000,0.7555,0.9257,0.8319,0.8857,0.8862,0.9034,0.5794,0.6516,0.8105,0.8499
approach (GPT-5.6-luna),gpt-5.6-luna,jabref,0.9825,1.0000,0.9910,0.9963,0.0000,0.9897,1.0000,0.9948,0.9979,0.9926,0.9970,0.9744,0.9892,0.9954,0.9982
Artemis (GPT-5.6-terra),gpt-5.6-terra,mediastore,0.9024,0.9677,0.9333,0.9535,0.0000,0.9236,0.9322,0.9274,0.9302,0.9476,0.9575,0.7521,0.8497,0.9564,0.9713
Artemis (GPT-5.6-terra),gpt-5.6-terra,teastore,0.5725,0.9753,0.7214,0.8549,0.0000,0.5753,0.9821,0.7255,0.8604,0.7214,0.8549,0.4286,0.6522,0.6663,0.8240
Artemis (GPT-5.6-terra),gpt-5.6-terra,teammates,0.9205,0.6433,0.7554,0.6836,11.6959,0.9260,0.6097,0.7309,0.6524,0.5069,0.3957,0.4057,0.3285,0.4953,0.4375
Artemis (GPT-5.6-terra),gpt-5.6-terra,bigbluebutton,0.8031,0.6989,0.7474,0.7175,1.0753,0.7020,0.8483,0.7641,0.8112,0.8261,0.8034,0.2222,0.1852,0.4451,0.4457
Artemis (GPT-5.6-terra),gpt-5.6-terra,jabref,0.8275,0.9630,0.8892,0.9317,3.7037,0.8494,0.9985,0.9158,0.9631,0.8959,0.9385,0.5333,0.6061,0.6103,0.6427
Artemis (GPT-5.4),gpt-5.4,mediastore,1.0000,0.8710,0.9310,0.8940,0.0000,1.0000,0.7797,0.8762,0.8156,0.9231,0.8824,0.7273,0.6250,0.9432,0.9122
Artemis (GPT-5.4),gpt-5.4,teastore,0.9524,0.7407,0.8333,0.7752,0.0000,0.9901,0.7086,0.8261,0.7513,0.8333,0.7752,0.6667,0.5556,0.8304,0.7653
Artemis (GPT-5.4),gpt-5.4,teammates,0.7692,0.7018,0.7339,0.7143,8.7719,0.8646,0.6686,0.7541,0.7004,0.5419,0.4303,0.6609,0.5637,0.7573,0.6814
Artemis (GPT-5.4),gpt-5.4,bigbluebutton,0.9268,0.6129,0.7379,0.6574,3.2258,0.8519,0.7371,0.7903,0.7575,0.7941,0.7239,0.0000,0.0000,0.0000,0.0000
Artemis (GPT-5.4),gpt-5.4,jabref,1.0000,0.8889,0.9412,0.9091,11.1111,0.9995,0.9956,0.9976,0.9964,0.9524,0.9259,0.0000,0.0000,0.0000,0.0000
TransArC,deterministic,mediastore,0.9444,0.5484,0.6939,0.5986,35.4839,0.9615,0.4237,0.5882,0.4771,0.7391,0.6538,0.0000,0.0000,0.0000,0.0000
TransArC,deterministic,teastore,1.0000,0.7407,0.8511,0.7812,0.0000,1.0000,0.7086,0.8295,0.7525,0.8511,0.7812,0.6667,0.5556,0.8421,0.7692
TransArC,deterministic,teammates,0.6049,0.8596,0.7101,0.7929,0.0000,0.7531,0.9024,0.8211,0.8680,0.7158,0.6501,0.5366,0.6548,0.7570,0.8156
TransArC,deterministic,bigbluebutton,0.8980,0.7097,0.7928,0.7407,0.0000,0.8203,0.8417,0.8309,0.8373,0.8322,0.8031,0.5714,0.4545,0.8377,0.8029
TransArC,deterministic,jabref,0.9000,1.0000,0.9474,0.9783,0.0000,0.8927,1.0000,0.9433,0.9765,0.9565,0.9821,0.8000,0.9091,0.9412,0.9756
